name	modelId	modelIdData	rarity	maxSlotsMaybe	classId	unk2_1	eqType	unk2_3	unk3_1	unk3_2	unk3_3	unk3_4	unk4_1	unk4_2	unk4_3	unk4_4	unk5_1	unk5_2	unk5_3	unk5_4	zennyCost	rawDamage	defense	recoilMaybe	slots	affinity	sortOrderMaybe	unk6_1	elementId	eleDamage	unk6_4	unk7_1	unk7_2	unk7_3	unk7_4	unk8_1	unk8_2	unk8_3	unk8_4	unk9_1	unk9_2	unk9_3	unk9_4	unk10_1	unk10_2	unk10_3	unk10_4	unk11_1	unk11_2	unk11_3	unk11_4	unk12_1	unk12_2	unk12_3	unk12_4
老山龍砲	108	we108	2	3	ヘビィボウガン	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	3550	240	10	3	1	0	19	0	なし	0	0	0	0	0	0	39	201	131	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
インジェクションガン	109	we109	0	2	ヘビィボウガン	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	2100	130	0	2	0	0	3	0	なし	0	3	0	0	0	0	207	143	251	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ラストニードル	110	we110	0	2	ヘビィボウガン	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	2550	180	0	2	0	0	11	4	なし	0	0	0	0	0	0	219	54	200	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
鬼ヶ島	115	we115	0	3	ライトボウガン	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	2350	90	0	2	0	0	19	9	なし	0	1	0	0	0	0	79	254	160	250	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ショットボウガン・白	199	we199	0	0	ライトボウガン	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	2400	100	0	2	0	0	4	22	なし	0	3	0	0	0	0	207	147	247	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
グラビモスロア	142	we142	3	1	ヘビィボウガン	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	18200	240	0	2	0	0	34	13	なし	0	1	0	0	0	0	179	237	194	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
超イャンクック砲	147	we147	3	3	ヘビィボウガン	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	15700	250	10	2	0	0	37	0	なし	0	0	0	0	0	0	151	164	128	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Ｓ・クロスボウガン	11	we011	3	0	ライトボウガン	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	10700	170	0	2	2	0	38	0	なし	0	2	0	0	0	0	75	146	247	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ハートヴァルキリー	201	we201	1	2	ライトボウガン	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	2700	140	0	2	0	0	17	26	なし	0	3	0	0	0	0	95	134	50	188	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ヴァルキリーブレイズ	92	we092	3	2	ライトボウガン	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	9200	170	0	2	1	0	37	0	なし	0	3	0	0	0	0	95	134	48	188	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ハートヴァルキリー改	201	we201	3	2	ライトボウガン	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	16500	180	0	2	0	0	56	26	なし	0	3	0	0	0	0	95	134	50	188	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ゴールドヴァルキリー	203	we203	5	2	ライトボウガン	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	19800	220	0	2	0	0	62	12	なし	0	3	0	0	0	0	95	182	51	188	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ソウルスパルタカス	202	we202	1	3	ライトボウガン	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	3500	140	0	2	0	0	26	27	なし	0	2	0	0	0	0	63	134	241	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
スパルタカスブレイズ	93	we093	3	3	ライトボウガン	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	13300	180	0	2	2	0	53	0	なし	0	2	0	0	0	0	63	134	240	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ソウルスパルタカス改	202	we202	4	3	ライトボウガン	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	16400	190	0	2	0	0	59	27	なし	0	2	0	0	0	0	63	134	241	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
シルバースパルタカス	204	we204	6	3	ライトボウガン	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	18400	230	0	2	0	0	63	14	なし	0	2	0	0	0	0	63	134	243	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
紅碧の対弩	218	we218	3	3	ライトボウガン	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	15200	170	6	2	2	0	47	0	なし	0	3	0	0	0	0	127	134	240	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
蒼桜の対弩	205	we205	1	3	ライトボウガン	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	4200	140	6	2	0	0	25	28	なし	0	3	0	0	0	0	127	134	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ウラノスグレネード	207	we207	2	1	ライトボウガン	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	2750	140	0	2	0	10	15	7	なし	0	4	0	0	0	0	179	237	194	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
蒼桜の対弩・覇	205	we205	3	3	ライトボウガン	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	15000	180	6	2	0	0	54	28	なし	0	3	0	0	0	0	127	134	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
繚乱の対弩	206	we206	6	3	ライトボウガン	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	23500	230	10	2	1	0	64	15	なし	0	3	0	0	0	0	127	182	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
バレットシャワー・蒼	94	we094	2	0	ライトボウガン	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	9400	150	0	2	0	20	31	0	なし	0	3	0	0	0	0	203	146	49	252	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
バレットシャワー・碧	95	we095	2	0	ライトボウガン	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	10500	160	0	2	2	0	34	0	なし	0	3	0	0	0	0	203	147	51	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
バレットシャワー・紅	96	we096	3	0	ライトボウガン	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	10700	170	0	2	0	0	39	0	なし	0	3	0	0	0	0	203	147	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
レインバレッツ・白	199	we199	2	0	ライトボウガン	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	22800	160	0	2	0	0	45	16	なし	0	3	0	0	0	0	207	147	247	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
メイルシュトローム改	97	we097	2	0	ライトボウガン	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	8800	160	0	2	0	0	35	6	なし	0	2	0	0	0	0	251	255	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
サンドフォール	200	we200	1	0	ライトボウガン	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	3050	120	0	2	0	0	11	17	なし	0	4	0	0	0	0	79	146	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
デザートテンペスト	98	we098	3	0	ライトボウガン	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	11500	160	0	2	2	0	33	0	なし	0	4	0	0	0	0	79	18	241	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
サンドフォール改	200	we200	3	0	ライトボウガン	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	25000	170	0	2	0	0	48	17	なし	0	4	0	0	0	0	79	146	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
グレネードボウガン改	99	we099	2	1	ライトボウガン	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	9200	150	0	2	0	0	30	4	なし	0	4	0	0	0	0	219	54	192	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
タイタングレネード改	100	we100	4	1	ライトボウガン	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	9400	180	0	2	1	0	40	7	なし	0	4	0	0	0	0	179	237	194	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
クロノスグレネード	207	we207	4	1	ライトボウガン	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	17600	180	0	2	0	10	51	13	なし	0	4	0	0	0	0	179	237	194	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
クックアンガー	197	we197	0	3	ライトボウガン	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	1050	130	0	2	0	0	13	0	なし	0	0	0	0	0	0	151	164	128	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
クックレイジ	198	we198	1	3	ライトボウガン	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	7400	160	0	2	0	10	44	2	なし	0	0	0	0	0	0	151	164	128	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
クロオビボウガン	152	we152	1	0	ライトボウガン	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	5450	120	0	2	1	0	21	19	なし	0	4	0	0	0	0	79	146	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
タツジンボウガン	152	we152	3	0	ライトボウガン	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	14900	160	0	2	1	0	32	20	なし	0	4	0	0	0	0	79	146	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
神ヶ島	115	we115	1	3	ライトボウガン	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	11600	150	0	2	0	0	42	9	なし	0	1	0	0	0	0	79	254	160	250	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ダークフリルパラソル	116	we116	6	2	ライトボウガン	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	16000	230	0	2	0	0	65	0	なし	0	3	0	0	0	0	207	183	248	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
パールフリルパラソル	217	we217	1	2	ライトボウガン	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	9700	130	0	2	0	0	28	0	なし	0	3	0	0	0	0	223	15	246	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ピンクフリルパラソル	208	we208	1	2	ライトボウガン	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	21300	130	0	2	0	0	41	18	なし	0	3	0	0	0	0	223	15	246	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Ｓ・アルバレスト	13	we013	1	2	ヘビィボウガン	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	15100	215	0	2	2	0	22	0	なし	0	1	0	0	0	0	75	146	55	51	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
タンクメイジ改	102	we102	1	2	ヘビィボウガン	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	15500	210	0	2	2	0	21	0	なし	0	1	0	0	0	0	203	51	243	63	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
バストンメイジ	209	we209	1	2	ヘビィボウガン	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	22100	200	0	2	1	0	28	10	なし	0	1	0	0	0	0	203	179	247	63	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
クイックキャスト改	104	we104	3	1	ヘビィボウガン	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	25000	230	0	2	0	0	31	0	なし	0	4	0	0	0	0	159	164	87	245	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
デュエルキャスト	211	we211	3	2	ヘビィボウガン	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	3500	220	10	2	0	0	14	1	なし	0	4	0	0	0	0	63	0	0	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
デュエルキャスト改	211	we211	4	2	ヘビィボウガン	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	14400	250	14	2	0	0	27	1	なし	0	4	0	0	0	0	63	0	0	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
モノデビルキャスト	212	we212	1	2	ヘビィボウガン	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	3650	190	10	2	0	0	17	1	なし	0	4	0	0	0	0	255	1	0	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
モノデビルキャスト改	212	we212	3	2	ヘビィボウガン	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	19400	230	14	2	0	0	33	1	なし	0	4	0	0	0	0	255	1	0	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
メテオバスター	210	we210	2	2	ヘビィボウガン	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	20900	210	0	2	2	0	29	11	なし	0	3	0	0	0	0	63	142	0	53	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ヴォルキャノン	106	we106	5	3	ヘビィボウガン	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	25000	280	14	2	1	0	40	0	なし	0	3	0	0	0	0	63	254	83	53	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ディスティハーダ	214	we214	6	3	ヘビィボウガン	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	25000	290	20	2	0	0	41	21	なし	0	3	0	0	0	0	63	254	83	53	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
イャンクック砲	107	we107	0	3	ヘビィボウガン	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	10500	200	10	2	1	0	20	0	なし	0	0	0	0	0	0	151	164	128	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
老山龍砲・覇	108	we108	4	3	ヘビィボウガン	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	18300	270	20	3	1	0	39	0	なし	0	0	0	0	0	0	39	201	131	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
老山龍砲・皇	213	we213	5	3	ヘビィボウガン	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	17900	290	14	3	0	-10	42	0	なし	0	0	0	0	0	0	39	201	131	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ハニーコーマー	110	we110	1	2	ヘビィボウガン	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	10700	220	0	2	0	0	24	4	なし	0	0	0	0	0	0	219	54	200	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
グラビモスハウル	215	we215	2	1	ヘビィボウガン	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	12200	230	0	2	0	0	25	7	なし	0	1	0	0	0	0	179	237	194	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
三眼の獅子筒	298	we298	3	3	ライトボウガン	0	0	0	42	1	0	0	0	0	0	0	0	0	0	0	19000	180	0	2	0	0	52	31	なし	0	2	0	0	0	0	255	190	247	51	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ハンターボウⅢ	304	we304	1	0	弓	0	0	0	48	1	0	0	0	0	0	0	0	0	0	0	4000	140	0	0	3	0	5	14	なし	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ワイルドボウⅢ	305	we305	2	0	弓	0	0	0	49	1	0	0	0	0	0	0	0	0	0	0	8000	170	0	0	3	0	15	44	なし	0	0	0	0	0	0	28	2	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
パワーワイルドボウⅡ	306	we306	3	0	弓	0	0	0	50	1	0	0	0	0	0	0	0	0	0	0	39200	200	0	0	2	-10	41	29	なし	0	0	0	0	0	0	28	1	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
クイーンブラスターⅡ	232	we232	2	0	弓	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	8000	170	0	0	2	0	14	8	なし	0	0	0	0	0	0	6	1	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
ハートショットボウⅡ	307	we307	3	0	弓	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	13400	190	0	0	1	20	25	23	なし	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
プロミネンスボウⅡ	308	we308	3	0	弓	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	12000	180	0	0	2	0	27	38	火	100	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ソニックボウⅢ	309	we309	3	0	弓	0	0	0	53	1	0	0	0	0	0	0	0	0	0	0	38800	180	0	0	2	0	37	15	氷	140	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
ブロスホーンボウⅡ	310	we310	5	0	弓	0	0	0	54	1	0	0	0	0	0	0	0	0	0	0	50000	230	20	0	1	10	45	36	なし	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
龍弓【山崩】	311	we311	7	0	弓	0	0	0	55	1	0	0	0	0	0	0	0	0	0	0	50000	250	0	0	0	0	52	55	龍	180	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
勇気と希望の凄弓Ⅱ	312	we312	5	0	弓	0	0	0	56	1	0	0	0	0	0	0	0	0	0	0	30000	220	0	0	2	0	29	53	火	80	0	0	0	0	0	18	0	0	0	0	0	2	0	0	0	0	15	0	0	0	0	0	0	0	0
龍弓【日輪】	313	we313	5	0	弓	0	0	0	57	1	0	0	0	0	0	0	0	0	0	0	50000	210	0	0	1	10	48	57	雷	160	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
殲滅と破壊の剛弓Ⅰ	314	we314	6	0	弓	0	0	0	58	1	0	0	0	0	0	0	0	0	0	0	50000	250	0	0	1	20	49	12	なし	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
勝利と栄光の勇弓	315	we315	9	0	弓	0	0	0	58	1	0	0	0	0	0	0	0	0	0	0	50000	270	20	0	0	0	50	46	龍	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ウラナイランプ	295	we295	1	2	ライトボウガン	0	0	0	39	1	0	0	0	0	0	0	0	0	0	0	3850	120	0	2	3	30	20	0	なし	0	3	0	0	0	0	207	158	255	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ド【烏】	296	we296	3	3	ライトボウガン	0	0	0	40	1	0	0	0	0	0	0	0	0	0	0	12300	180	0	2	0	0	55	24	なし	0	2	0	0	0	0	151	164	240	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
テイルストリング	297	we297	1	2	ライトボウガン	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	11600	130	0	2	0	0	27	29	なし	0	2	0	0	0	0	255	129	55	252	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ラージャンデグ	298	we298	4	3	ライトボウガン	0	0	0	42	1	0	0	0	0	0	0	0	0	0	0	17500	190	0	2	0	0	60	31	なし	0	2	0	0	0	0	63	158	51	51	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
火竜弩	299	we299	4	3	ライトボウガン	0	0	0	43	1	0	0	0	0	0	0	0	0	0	0	21200	190	0	2	0	0	58	30	なし	0	4	0	0	0	0	63	134	240	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
エビィーガン	322	we322	0	0	ライトボウガン	0	0	0	66	1	0	0	0	0	0	0	0	0	0	0	2200	110	0	2	0	0	8	23	なし	0	2	0	0	0	0	255	129	247	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ジェイドストーム	331	we331	0	0	ライトボウガン	0	0	0	75	1	0	0	0	0	0	0	0	0	0	0	1950	110	0	2	0	0	9	6	なし	0	2	0	0	0	0	251	255	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
デルフ＝ダオラ	300	we300	0	3	ヘビィボウガン	0	0	0	44	1	0	0	0	0	0	0	0	0	0	0	3800	190	0	3	1	30	16	0	なし	0	0	0	0	0	0	95	18	241	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
カホウ【狼】	301	we301	6	3	ヘビィボウガン	0	0	0	45	1	0	0	0	0	0	0	0	0	0	0	25000	300	10	2	0	0	43	24	なし	0	3	0	0	0	0	151	164	240	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
バスタークラブ	302	we302	0	3	ヘビィボウガン	0	0	0	46	1	0	0	0	0	0	0	0	0	0	0	2300	170	6	2	2	0	8	0	なし	0	1	0	0	0	0	95	16	53	51	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ガオレンスフィア	303	we303	3	3	ヘビィボウガン	0	0	0	47	1	0	0	0	0	0	0	0	0	0	0	9100	250	10	2	1	0	35	32	なし	0	0	0	0	0	0	47	254	8	240	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ロックイーター	321	we321	0	1	ヘビィボウガン	0	0	0	65	1	0	0	0	0	0	0	0	0	0	0	2250	170	10	2	0	0	9	25	なし	0	1	0	0	0	0	79	254	224	250	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
