name	modelId	modelIdData	rarity	classId	zennyCost	sharpnessId	rawDamage	defense	affinity	elementId	eleDamage	ailmentId	ailDamage	slots	unk3	unk4	unk5	unk6	unk7	unk8	unk9	unk10	unk11	unk12	unk13	unk14	unk15	unk16	unk17
ゴーレムブレイド	20	we020	0	大剣	5650	261	120	2	0	なし	0	なし	0	2	0	0	24	20	0	0	0	0	0	0	0	0	15	0	0
ヴァルキリーブレイド	21	we021	0	大剣	8850	512	130	4	0	なし	0	なし	0	2	0	0	25	20	0	0	0	0	0	0	0	0	15	0	0
ジークリンデ	21	we021	2	大剣	12360	775	170	6	0	なし	0	なし	0	2	0	0	26	20	0	0	0	0	0	0	0	0	15	0	0
ドラゴンキラー	22	we022	0	大剣	50000	517	120	0	0	龍	420	なし	0	0	0	0	60	22	0	0	0	0	0	0	0	0	15	0	0
レッドシザー	234	we234	0	大剣	5860	518	130	8	0	なし	0	なし	0	2	0	0	31	234	0	0	0	0	0	0	0	0	15	0	0
フィンブレイド	23	we023	0	大剣	8460	0	100	0	0	水	260	なし	0	0	0	0	43	23	0	0	0	0	0	0	0	0	15	0	0
ギザミブレイド	237	we237	0	大剣	15800	261	140	0	0	なし	0	なし	0	0	0	0	33	237	0	0	0	0	0	0	0	0	15	0	0
水剣ガノトトス	23	we023	0	大剣	16300	257	120	0	0	水	390	なし	0	0	0	0	44	23	0	0	0	0	0	0	0	0	15	0	0
レッドウィング	24	we024	1	大剣	19630	512	140	0	0	火	380	なし	0	1	0	0	63	24	0	0	0	0	0	0	0	0	15	0	0
炎剣リオレウス	24	we024	1	大剣	41250	768	150	0	0	火	570	なし	0	1	0	0	64	24	0	0	0	0	0	0	0	0	15	0	0
凄くさびた大剣	25	we025	0	大剣	2500	259	120	0	0	なし	0	なし	0	0	0	0	54	25	0	0	0	0	0	0	0	0	15	0	0
さびた大剣	25	we025	0	大剣	5000	515	130	0	0	なし	0	なし	0	0	0	0	55	25	0	0	0	0	0	0	0	0	15	0	0
ブルークロウブレイド	237	we237	2	大剣	22300	517	170	0	0	なし	0	なし	0	0	0	0	34	237	0	0	0	0	0	0	0	0	15	0	0
エンシェントプレート	26	we026	2	大剣	40250	775	180	0	-20	龍	100	なし	0	0	0	0	56	26	0	0	0	0	0	0	0	0	15	0	0
骨	28	we028	0	大剣	640	3	80	0	0	なし	0	なし	0	0	0	0	36	28	0	0	0	0	0	0	0	0	15	0	0
龍木ノ太刀	250	we250	1	太刀	50000	774	130	0	0	なし	0	麻痺	280	2	0	2	46	250	0	0	0	0	0	0	0	0	15	0	0
龍刀【焔】	29	we029	2	太刀	34550	519	150	0	0	龍	350	なし	0	1	0	0	12	29	0	0	0	0	0	0	0	0	15	0	0
龍刀【紅蓮】	29	we029	3	太刀	42750	775	170	0	0	龍	480	なし	0	1	0	0	13	29	0	0	0	0	0	0	0	0	15	0	0
蛇剣【蒼蛇】	8	we008	0	大剣	6250	517	90	0	0	なし	0	なし	0	0	0	0	11	8	0	0	0	0	0	0	0	0	15	0	0
ダブルブロスソード	229	we229	2	大剣	50000	769	190	0	-30	なし	0	なし	0	0	0	2	52	229	0	0	0	0	0	0	0	0	15	0	0
蛇剣【大蛇】	8	we008	0	大剣	8950	773	100	0	0	なし	0	なし	0	1	0	0	12	8	0	0	0	0	0	0	0	0	15	0	0
アイアンハンマー	4	we004	0	ハンマー	1150	0	60	0	0	なし	0	なし	0	0	0	0	1	4	0	0	0	0	0	0	0	0	15	0	0
アイアンハンマー改	4	we004	0	ハンマー	1500	256	70	0	0	なし	0	なし	0	0	0	0	2	4	0	0	0	0	0	0	0	0	15	0	0
ウォーハンマー	30	we030	0	ハンマー	2830	1	80	0	0	なし	0	なし	0	0	0	0	3	30	0	0	0	0	0	0	0	0	15	0	0
溶解鎚	146	we146	2	ハンマー	31500	772	160	0	0	火	190	なし	0	1	0	0	47	146	0	0	0	0	0	0	0	0	15	0	0
ウォーメイス	30	we030	0	ハンマー	4520	256	100	0	0	なし	0	なし	0	0	0	0	4	30	0	0	0	0	0	0	0	0	15	0	0
アイアンストライク	31	we031	0	ハンマー	8870	512	120	0	0	なし	0	なし	0	0	0	0	5	31	0	0	0	0	0	0	0	0	15	0	0
ブルヘッドハンマー	253	we253	0	ハンマー	4830	260	100	0	0	なし	0	なし	0	1	0	0	34	253	0	0	0	0	0	0	0	0	15	0	0
ツインブロスハンマー	259	we259	3	ハンマー	50000	1028	170	18	0	なし	0	なし	0	0	0	2	27	259	0	0	0	0	0	0	0	0	15	0	0
アイアンインパクト	32	we032	1	ハンマー	13600	768	140	0	0	なし	0	なし	0	0	0	0	6	31	0	0	0	0	0	0	0	0	15	0	0
スパイクハンマー	3	we003	0	ハンマー	3830	1	90	0	0	なし	0	なし	0	0	0	0	9	3	0	0	0	0	0	0	0	0	15	0	0
スパイクハンマー改	3	we003	0	ハンマー	6740	260	110	0	0	なし	0	なし	0	0	0	0	10	3	0	0	0	0	0	0	0	0	15	0	0
クリスタルロック	33	we033	0	ハンマー	10120	516	130	0	0	なし	0	なし	0	1	0	0	11	33	0	0	0	0	0	0	0	0	15	0	0
クリスタルノヴァ	33	we033	1	ハンマー	15220	772	150	0	0	なし	0	なし	0	1	0	0	12	33	0	0	0	0	0	0	0	0	15	0	0
アンヴィルハンマー	34	we034	0	ハンマー	19740	262	130	4	0	なし	0	なし	0	1	0	0	63	34	0	0	0	0	0	0	0	0	15	0	0
ヴェノムモンスター	219	we219	2	ハンマー	24300	770	160	0	0	なし	0	毒	260	1	0	0	21	219	0	0	0	0	0	0	0	0	15	0	0
ボーンアクス	35	we035	0	ハンマー	4390	7	120	0	0	なし	0	なし	0	1	0	0	32	35	0	0	0	0	0	0	0	0	15	0	0
ロブスタンプ	326	we326	0	ハンマー	31560	519	120	0	0	水	200	なし	0	0	0	2	74	326	0	0	0	0	0	0	0	0	15	0	0
ブロードボーンアクス	35	we035	1	ハンマー	8980	514	150	0	0	なし	0	なし	0	2	0	0	33	35	0	0	0	0	0	0	0	0	15	0	0
ギガントハンマー	36	we036	0	ハンマー	6780	263	120	8	0	なし	0	なし	0	1	0	0	45	36	0	0	0	0	0	0	0	0	15	0	0
イカリハンマーＦ	256	we256	0	ハンマー	15000	512	120	0	0	水	290	なし	0	1	0	0	43	256	0	0	0	0	0	0	0	0	15	0	0
コーンヘッドハンマー	254	we254	0	ハンマー	15500	518	120	0	0	氷	260	なし	0	0	0	0	29	254	0	0	0	0	0	0	0	0	15	0	0
スイ【烏】	257	we257	3	ハンマー	50000	775	180	0	0	なし	0	なし	0	1	0	0	36	257	0	0	0	0	0	0	0	0	15	0	0
グラビィトンハンマー	37	we037	3	ハンマー	50000	775	170	14	0	なし	0	毒	180	2	0	0	50	37	0	0	0	0	0	0	0	0	15	0	0
ボーンハンマー	38	we038	0	ハンマー	900	1	70	0	0	なし	0	なし	0	0	0	0	14	38	0	0	0	0	0	0	0	0	15	0	0
ボーンハンマー改	38	we038	0	ハンマー	1890	257	80	0	0	なし	0	なし	0	0	0	0	15	38	0	0	0	0	0	0	0	0	15	0	0
サイクロプスハンマー	39	we039	0	ハンマー	2310	6	90	0	0	なし	0	なし	0	0	0	0	16	39	0	0	0	0	0	0	0	0	15	0	0
龍頭蓋棍	225	we225	0	ハンマー	22800	770	120	0	0	なし	0	なし	0	2	0	2	76	225	0	0	0	0	0	0	0	0	15	0	0
アトラスハンマー	39	we039	0	ハンマー	3920	257	110	0	0	なし	0	なし	0	0	0	0	17	39	0	0	0	0	0	0	0	0	15	0	0
スカルクラッシュ	40	we040	0	ハンマー	3190	6	100	0	0	なし	0	なし	0	0	0	0	23	40	0	0	0	0	0	0	0	0	15	0	0
スカルクラッシュ改	40	we040	0	ハンマー	5340	262	110	0	0	なし	0	なし	0	0	0	0	24	40	0	0	0	0	0	0	0	0	15	0	0
クックジョー	41	we041	0	ハンマー	6430	513	130	0	0	なし	0	なし	0	0	0	0	18	41	0	0	0	0	0	0	0	0	15	0	0
グレートコーン	254	we254	3	ハンマー	50000	1030	160	0	0	氷	400	なし	0	0	0	2	31	254	0	0	0	0	0	0	0	0	15	0	0
ギガントハンマー改	36	we036	1	ハンマー	9180	516	140	0	0	なし	0	なし	0	1	0	0	46	36	0	0	0	0	0	0	0	0	15	0	0
バサルブロウ	226	we226	2	ハンマー	30000	774	160	0	0	なし	0	なし	0	0	0	2	85	226	0	0	0	0	0	0	0	0	15	0	0
ブロステイル	42	we042	1	ハンマー	12690	519	140	10	0	なし	0	なし	0	0	0	0	25	42	0	0	0	0	0	0	0	0	15	0	0
ジェイルハンマー	43	we043	0	ハンマー	12980	514	120	0	0	なし	0	麻痺	190	1	0	0	7	43	0	0	0	0	0	0	0	0	15	0	0
ジェイダイトメイス	255	we255	1	ハンマー	29730	516	140	0	0	火	260	なし	0	0	0	0	54	255	0	0	0	0	0	0	0	0	15	0	0
ジェイドメイス	255	we255	2	ハンマー	50000	770	150	0	0	火	300	なし	0	1	0	0	55	255	0	0	0	0	0	0	0	0	15	0	0
工房試作品ガンハンマ	44	we044	1	ハンマー	27800	517	130	0	0	火	200	なし	0	0	0	0	60	44	0	0	0	0	0	0	0	0	15	0	0
デッドリボルバー	44	we044	2	ハンマー	32690	773	150	0	0	火	240	なし	0	2	0	0	61	44	0	0	0	0	0	0	0	0	15	0	0
凄くさびた槌	45	we045	0	ハンマー	2500	3	120	0	0	なし	0	なし	0	0	0	0	51	45	0	0	0	0	0	0	0	0	15	0	0
さびた槌	45	we045	0	ハンマー	5000	258	130	0	0	なし	0	なし	0	0	0	0	52	45	0	0	0	0	0	0	0	0	15	0	0
鋼氷棍	260	we260	4	ハンマー	50000	775	180	0	0	氷	320	なし	0	0	0	1	83	260	0	0	0	0	0	0	0	0	15	0	0
ブレス・コア	46	we046	2	ハンマー	35470	771	180	0	-20	なし	0	なし	0	0	0	0	53	34	0	0	0	0	0	0	0	0	15	0	0
骨塊	47	we047	0	ハンマー	840	3	80	0	0	なし	0	なし	0	0	0	0	39	47	0	0	0	0	0	0	0	0	15	0	0
大骨塊	47	we047	0	ハンマー	1050	1	130	0	0	なし	0	なし	0	0	0	0	40	47	0	0	0	0	0	0	0	0	15	0	0
ドラゴンデストロイ	48	we048	2	ハンマー	31680	519	150	0	0	龍	170	なし	0	0	0	0	57	48	0	0	0	0	0	0	0	0	15	0	0
ドラゴンブレイカー	48	we048	3	ハンマー	40160	775	170	0	0	龍	330	なし	0	0	0	0	58	48	0	0	0	0	0	0	0	0	15	0	0
アイアンランス	6	we006	0	ランス	1520	0	60	0	0	なし	0	なし	0	0	0	0	1	6	0	0	0	0	0	0	0	0	15	0	0
アイアンランス改	6	we006	0	ランス	1850	256	70	0	0	なし	0	なし	0	0	0	0	2	6	0	0	0	0	0	0	0	0	15	0	0
ナイトランス	49	we049	0	ランス	3180	261	80	0	0	なし	0	なし	0	0	0	0	3	49	0	0	0	0	0	0	0	0	15	0	0
撃竜槍【阿】	274	we274	2	ランス	50000	773	160	10	0	龍	100	なし	0	1	0	2	8	274	0	0	0	0	0	0	0	0	15	0	0
ナイトスクウィード	49	we049	0	ランス	6330	262	100	0	0	なし	0	なし	0	0	0	0	4	49	0	0	0	0	0	0	0	0	15	0	0
パラディンランス	50	we050	0	ランス	9420	517	120	4	0	なし	0	なし	0	0	0	0	5	51	0	0	0	0	0	0	0	0	15	0	0
ランパート	50	we050	0	ランス	16440	769	130	6	0	なし	0	なし	0	1	0	0	6	51	0	0	0	0	0	0	0	0	15	0	0
アイアンガンランス	278	we278	0	ガンランス	5050	6	100	0	0	なし	0	なし	0	0	0	0	1	278	0	0	0	0	0	0	0	0	15	0	0
バベル	51	we051	1	ランス	21400	768	150	8	0	なし	0	なし	0	1	0	0	7	51	0	0	0	0	0	0	0	0	15	0	0
鬼鉄	4	we004	2	ハンマー	50000	519	160	0	10	なし	0	なし	0	1	0	2	67	4	0	0	0	0	0	0	0	0	15	0	0
アイアンガンランス改	278	we278	0	ガンランス	8370	261	110	0	0	なし	0	なし	0	1	0	0	2	278	0	0	0	0	0	0	0	0	15	0	0
討伐隊正式銃槍	233	we233	1	ガンランス	21100	518	150	0	0	なし	0	なし	0	2	3	0	4	233	0	0	0	0	0	0	0	0	15	0	0
ダークランス	53	we053	0	ランス	7590	0	100	0	0	なし	0	麻痺	180	2	0	0	24	53	0	0	0	0	0	0	0	0	15	0	0
シルバールーク	285	we285	3	ガンランス	50000	773	180	0	0	龍	220	なし	0	2	8	1	6	285	0	0	0	0	0	0	0	0	15	0	0
ダークスクウィード	53	we053	0	ランス	11490	513	120	0	0	なし	0	麻痺	200	2	0	0	25	53	0	0	0	0	0	0	0	0	15	0	0
パラライザー	54	we054	0	ランス	11200	519	120	0	0	なし	0	麻痺	240	0	0	0	62	54	0	0	0	0	0	0	0	0	15	0	0
トライデント	54	we054	1	ランス	24880	771	130	0	0	なし	0	麻痺	300	0	0	0	63	54	0	0	0	0	0	0	0	0	15	0	0
ボーンジャベリン	2	we002	0	ランス	3100	6	90	0	0	なし	0	なし	0	0	0	0	27	2	0	0	0	0	0	0	0	0	15	0	0
ナナ＝ハウル	282	we282	1	ガンランス	35950	769	140	0	0	なし	0	なし	0	1	1	0	8	282	0	0	0	0	0	0	0	0	15	0	0
スパイクスピア	2	we002	0	ランス	7500	518	120	0	0	なし	0	なし	0	0	0	0	28	2	0	0	0	0	0	0	0	0	15	0	0
アクアンスピア	55	we055	1	ランス	11250	517	130	0	0	水	200	なし	0	0	0	0	29	56	0	0	0	0	0	0	0	0	15	0	0
ナナ＝ロア	282	we282	2	ガンランス	50000	1025	160	0	0	なし	0	なし	0	1	4	0	9	282	0	0	0	0	0	0	0	0	15	0	0
シープソングスピア	56	we056	0	ランス	4920	774	80	0	0	なし	0	睡眠	160	2	0	0	32	56	0	0	0	0	0	0	0	0	15	0	0
ホワイトガンランス	281	we281	0	ガンランス	14350	512	130	8	0	なし	0	なし	0	0	2	0	11	281	0	0	0	0	0	0	0	0	15	0	0
ボーンランス	57	we057	0	ランス	1260	1	70	0	0	なし	0	なし	0	0	0	0	12	2	0	0	0	0	0	0	0	0	15	0	0
ボーンランス改	57	we057	0	ランス	1770	257	80	0	0	なし	0	なし	0	0	0	0	13	2	0	0	0	0	0	0	0	0	15	0	0
ロングホーン	58	we058	0	ランス	2590	0	90	0	0	なし	0	なし	0	0	0	0	14	58	0	0	0	0	0	0	0	0	15	0	0
ブラックキャノン	284	we284	3	ガンランス	50000	769	180	8	0	なし	0	なし	0	1	5	2	13	281	0	0	0	0	0	0	0	0	15	0	0
ロングタスク	58	we058	0	ランス	4300	257	110	0	0	なし	0	なし	0	0	0	0	15	58	0	0	0	0	0	0	0	0	15	0	0
バーバリアンタスク	59	we059	0	ランス	8260	516	130	0	0	なし	0	なし	0	0	0	0	16	59	0	0	0	0	0	0	0	0	15	0	0
ヘルスティング	280	we280	1	ガンランス	13210	514	130	0	0	氷	190	なし	0	1	3	0	15	280	0	0	0	0	0	0	0	0	15	0	0
ハードヒッター	279	we279	2	ガンランス	50000	516	150	0	0	なし	0	毒	290	0	4	2	19	279	0	0	0	0	0	0	0	0	15	0	0
オーガーランス	60	we060	2	ランス	14620	772	170	0	0	なし	0	なし	0	0	0	0	17	59	0	0	0	0	0	0	0	0	15	0	0
レッドテイル	61	we061	0	ランス	15960	512	120	0	0	火	300	なし	0	0	0	0	64	61	0	0	0	0	0	0	0	0	15	0	0
シザーガンランス	283	we283	2	ガンランス	50000	773	160	16	0	なし	0	なし	0	1	3	2	17	283	0	0	0	0	0	0	0	0	15	0	0
龍木ノ槍	286	we286	2	ガンランス	50000	772	150	0	0	なし	0	麻痺	180	1	7	2	21	286	0	0	0	0	0	0	0	0	15	0	0
ブロスホーン	62	we062	1	ランス	8110	512	140	0	0	なし	0	なし	0	0	0	0	39	62	0	0	0	0	0	0	0	0	15	0	0
エメラルドスピア	328	we328	1	ランス	14650	773	140	0	0	水	240	なし	0	0	0	0	30	328	0	0	0	0	0	0	0	0	15	0	0
角槍ディアブロス	62	we062	2	ランス	23840	769	170	0	0	なし	0	なし	0	0	0	0	40	62	0	0	0	0	0	0	0	0	15	0	0
ボーンクロウランス	270	we270	0	ランス	3940	513	120	12	0	なし	0	なし	0	0	0	0	19	270	0	0	0	0	0	0	0	0	15	0	0
クリムゾンブロス	63	we063	3	ランス	30100	775	170	0	0	火	240	なし	0	0	0	0	42	62	0	0	0	0	0	0	0	0	15	0	0
ヴェノムランス	64	we064	1	ランス	8730	262	140	0	0	なし	0	毒	150	0	0	0	47	65	0	0	0	0	0	0	0	0	15	0	0
ブレイドスティンガー	272	we272	2	ランス	16150	768	160	0	0	なし	0	なし	0	1	0	0	21	272	0	0	0	0	0	0	0	0	15	0	0
ヴェノムスクウィード	64	we064	2	ランス	11240	512	150	0	0	なし	0	毒	200	0	0	0	48	65	0	0	0	0	0	0	0	0	15	0	0
豪槍グラビモス	65	we065	3	ランス	36260	768	170	10	0	なし	0	毒	270	0	0	0	49	65	0	0	0	0	0	0	0	0	15	0	0
ガトリングランス	66	we066	1	ランス	16080	517	150	8	0	火	120	なし	0	0	0	0	52	66	0	0	0	0	0	0	0	0	15	0	0
ガトリングランス改	66	we066	2	ランス	50000	773	160	8	0	火	160	なし	0	0	0	0	53	66	0	0	0	0	0	0	0	0	15	0	0
凄くさびた槍	67	we067	0	ランス	2500	3	120	0	0	なし	0	なし	0	0	0	0	55	67	0	0	0	0	0	0	0	0	15	0	0
さびた槍	67	we067	0	ランス	5000	259	130	0	0	なし	0	なし	0	0	0	0	56	67	0	0	0	0	0	0	0	0	15	0	0
ギザミスティンガー	272	we272	2	ランス	50000	773	170	0	0	なし	0	なし	0	1	0	2	22	272	0	0	0	0	0	0	0	0	15	0	0
アンドレイヤー	68	we068	2	ランス	41750	771	180	0	-20	なし	0	なし	0	0	0	0	57	68	0	0	0	0	0	0	0	0	15	0	0
ドラゴンランス	69	we069	3	ランス	50000	519	180	0	0	龍	350	なし	0	0	0	1	79	69	0	0	0	0	0	0	0	0	15	0	0
鬼槍ラージャン	120	we120	3	ランス	50000	769	170	0	20	雷	160	なし	0	0	0	2	45	120	0	0	0	0	0	0	0	0	15	0	0
ハンターナイフ	7	we007	0	片手剣	480	0	60	0	0	なし	0	なし	0	0	0	0	1	7	0	0	0	0	0	0	0	0	15	0	0
ハンターナイフ改	7	we007	0	片手剣	900	256	70	0	0	なし	0	なし	0	0	0	0	2	7	0	0	0	0	0	0	0	0	15	0	0
ハンターカリンガ	70	we070	0	片手剣	1380	261	90	0	0	なし	0	なし	0	0	0	0	3	70	0	0	0	0	0	0	0	0	15	0	0
ハンターカリンガ改	70	we070	0	片手剣	2540	512	110	0	0	なし	0	なし	0	0	0	0	4	70	0	0	0	0	0	0	0	0	15	0	0
アサシンカリンガ	70	we070	0	片手剣	3820	768	120	0	0	なし	0	なし	0	0	0	0	5	70	0	0	0	0	0	0	0	0	15	0	0
紫電	71	we071	0	片手剣	17500	257	110	2	0	雷	250	なし	0	0	0	0	52	71	0	0	0	0	0	0	0	0	15	0	0
紫電改	72	we072	0	片手剣	33750	513	120	6	0	雷	280	なし	0	0	0	0	53	72	0	0	0	0	0	0	0	0	15	0	0
朽ちた龍剣Ｆ	227	we227	0	片手剣	11110	516	100	0	0	なし	0	なし	0	2	0	0	40	227	0	0	0	0	0	0	0	0	15	0	0
雷神剣キリン	171	we171	1	片手剣	50000	769	140	10	0	雷	330	なし	0	1	0	0	54	72	0	0	0	0	0	0	0	0	15	0	0
サーペントバイト	73	we073	0	片手剣	2290	517	130	0	0	なし	0	なし	0	0	0	0	13	73	0	0	0	0	0	0	0	0	15	0	0
ドスバイトダガー	141	we141	1	片手剣	7450	517	160	0	0	なし	0	なし	0	1	0	0	6	141	0	0	0	0	0	0	0	0	15	0	0
ヴァイパーバイト	74	we074	1	片手剣	4350	512	140	0	0	なし	0	麻痺	220	0	0	0	14	74	0	0	0	0	0	0	0	0	15	0	0
封龍宝剣Ｆ	227	we227	2	片手剣	15750	769	160	0	10	龍	220	なし	0	3	0	0	41	227	0	0	0	0	0	0	0	0	15	0	0
デスパライズ	74	we074	2	片手剣	8590	768	150	0	0	なし	0	麻痺	260	2	0	0	15	74	0	0	0	0	0	0	0	0	15	0	0
ハイドラバイト	75	we075	0	片手剣	3160	261	80	0	0	なし	0	毒	200	0	0	0	16	75	0	0	0	0	0	0	0	0	15	0	0
フレイムサイフォス	287	we287	1	片手剣	50000	768	160	0	-40	火	240	なし	0	1	0	2	65	287	0	0	0	0	0	0	0	0	15	0	0
デッドリィポイズン	75	we075	0	片手剣	7100	517	120	0	0	なし	0	毒	360	0	0	0	17	75	0	0	0	0	0	0	0	0	15	0	0
サンダーベイン	76	we076	1	片手剣	9190	516	140	0	0	雷	170	なし	0	1	0	0	31	76	0	0	0	0	0	0	0	0	15	0	0
プリンセスレイピア	288	we288	1	片手剣	15520	512	140	0	0	なし	0	毒	370	1	0	0	18	288	0	0	0	0	0	0	0	0	15	0	0
ライトニングベイン	76	we076	1	片手剣	15230	772	150	0	0	雷	220	なし	0	1	0	0	32	76	0	0	0	0	0	0	0	0	15	0	0
プリンセスレイピア改	288	we288	2	片手剣	50000	768	160	0	0	なし	0	毒	380	2	0	2	19	288	0	0	0	0	0	0	0	0	15	0	0
ポイズンタバルジン	82	we082	1	片手剣	8960	513	140	0	0	なし	0	毒	270	2	0	0	34	82	0	0	0	0	0	0	0	0	15	0	0
ボーンククリ	77	we077	0	片手剣	420	1	70	0	0	なし	0	なし	0	0	0	0	21	77	0	0	0	0	0	0	0	0	15	0	0
ボーンククリ改	77	we077	0	片手剣	660	257	80	0	0	なし	0	なし	0	0	0	0	22	77	0	0	0	0	0	0	0	0	15	0	0
ボーンピック	78	we078	0	片手剣	1140	2	100	0	0	なし	0	なし	0	0	0	0	23	78	0	0	0	0	0	0	0	0	15	0	0
ボーンピック改	78	we078	0	片手剣	1640	258	120	0	0	なし	0	なし	0	0	0	0	24	78	0	0	0	0	0	0	0	0	15	0	0
ボーンネイル	78	we078	0	片手剣	2100	257	130	0	0	なし	0	なし	0	1	0	0	25	78	0	0	0	0	0	0	0	0	15	0	0
バーンエッジ	79	we079	0	片手剣	7580	260	120	0	0	火	260	なし	0	0	0	0	60	79	0	0	0	0	0	0	0	0	15	0	0
マスターブレイドＦ	83	we083	2	片手剣	50000	518	170	0	30	なし	0	なし	0	2	0	0	57	83	0	0	0	0	0	0	0	0	15	0	0
バーンエッジ改	79	we079	2	片手剣	15890	516	150	0	0	火	330	なし	0	0	0	0	61	79	0	0	0	0	0	0	0	0	15	0	0
